engine_file,id,source_page,pos,pos_final,pn,pn_final,esquemas,ruta_esquemas_pos,esquemas_circulos,esquemas_circulos_all
engine_12V4000M53.json,RB-12V4000M53-000058,26,150,150,000000003021,000000003021,"12V4000M53-0025-01.webp, 12V4000M53-0025-02.webp",,,
engine_12V4000M53.json,RB-12V4000M53-000182,40,2175,2175,000125006431,000125006431,"12V4000M53-0038-01.webp, 12V4000M53-0038-02.webp, 12V4000M53-0039-01.webp, 12V4000M53-0039-02.webp",,,
engine_12V4000M53.json,RB-12V4000M53-000186,40,2375,2375,000125006431,000125006431,"12V4000M53-0038-01.webp, 12V4000M53-0038-02.webp, 12V4000M53-0039-01.webp, 12V4000M53-0039-02.webp",,,
engine_12V4000M53.json,RB-12V4000M53-000251,41,6200,6200,304017008083,304017008083,"12V4000M53-0038-01.webp, 12V4000M53-0038-02.webp, 12V4000M53-0039-01.webp, 12V4000M53-0039-02.webp",,,
engine_12V4000M53.json,RB-12V4000M53-000252,41,6250,6250,007349008002,007349008002,"12V4000M53-0038-01.webp, 12V4000M53-0038-02.webp, 12V4000M53-0039-01.webp, 12V4000M53-0039-02.webp",,,
engine_12V4000M53.json,RB-12V4000M53-000254,41,6350,6350,700327010000,700327010000,"12V4000M53-0038-01.webp, 12V4000M53-0038-02.webp, 12V4000M53-0039-01.webp, 12V4000M53-0039-02.webp",,,
engine_12V4000M53.json,RB-12V4000M53-000442,74,150,150,5240160350,5240160350,12V4000M53-0074-01.webp,,,
engine_12V4000M53.json,RB-12V4000M53-000443,74,160,160,5240160450,5240160450,12V4000M53-0074-01.webp,,,
engine_12V4000M53.json,RB-12V4000M53-000444,74,170,170,5240160550,5240160550,12V4000M53-0074-01.webp,,,
engine_12V4000M53.json,RB-12V4000M53-000445,74,180,180,5240160650,5240160650,12V4000M53-0074-01.webp,,,
engine_12V4000M53.json,RB-12V4000M53-000446,74,190,190,5240160276,5240160276,12V4000M53-0074-01.webp,,,
engine_12V4000M53.json,RB-12V4000M53-000447,74,210,210,X52404200008,X52404200008,12V4000M53-0074-01.webp,,,
engine_12V4000M53.json,RB-12V4000M53-000448,74,220,220,X52404200009,X52404200009,12V4000M53-0074-01.webp,,,
engine_12V4000M53.json,RB-12V4000M53-000449,74,230,230,X52404200010,X52404200010,12V4000M53-0074-01.webp,,,
engine_12V4000M53.json,RB-12V4000M53-000450,74,240,240,735073010001,735073010001,12V4000M53-0074-01.webp,,,
engine_12V4000M53.json,RB-12V4000M53-000469,80,650,650,304017008085,304017008085,"12V4000M53-0078-01.webp, 12V4000M53-0078-02.webp, 12V4000M53-0079-01.webp, 12V4000M53-0079-02.webp",,,
engine_12V4000M53.json,RB-12V4000M53-000470,80,700,700,007349008002,007349008002,"12V4000M53-0078-01.webp, 12V4000M53-0078-02.webp, 12V4000M53-0079-01.webp, 12V4000M53-0079-02.webp",,,
engine_12V4000M53.json,RB-12V4000M53-000522,95,20,20,XP52707300011,XP52707300011,12V4000M53-0095-01.webp,,,
engine_12V4000M53.json,RB-12V4000M53-000525,97,25,25,EX59407500024,EX59407500024,12V4000M53-0097-01.webp,,,
engine_12V4000M53.json,RB-12V4000M53-000526,97,26,26,RX59407500024,RX59407500024,12V4000M53-0097-01.webp,,,
engine_12V4000M53.json,RB-12V4000M53-000542,101,81,81,X59499100827,X59499100827,"12V4000M53-0100-01.webp, 12V4000M53-0100-02.webp, 12V4000M53-0101-01.webp",,,
engine_12V4000M53.json,RB-12V4000M53-000543,101,82,82,000934008013,000934008013,"12V4000M53-0100-01.webp, 12V4000M53-0100-02.webp, 12V4000M53-0101-01.webp",,,
engine_12V4000M53.json,RB-12V4000M53-000551,101,210,210,000000004164,000000004164,"12V4000M53-0100-01.webp, 12V4000M53-0100-02.webp, 12V4000M53-0101-01.webp",,,
engine_12V4000M53.json,RB-12V4000M53-000573,102,,,000939008109,000939008109,"12V4000M53-0100-01.webp, 12V4000M53-0100-02.webp, 12V4000M53-0101-01.webp",,,
engine_12V4000M53.json,RB-12V4000M53-000574,102,,,50010,50010,"12V4000M53-0100-01.webp, 12V4000M53-0100-02.webp, 12V4000M53-0101-01.webp",,,
engine_12V4000M53.json,RB-12V4000M53-000738,111,424,424,X59499100107,X59499100107,"12V4000M53-0110-01.webp, 12V4000M53-0110-02.webp",,,
engine_12V4000M53.json,RB-12V4000M53-000745,111,435,435,200433013000,200433013000,"12V4000M53-0110-01.webp, 12V4000M53-0110-02.webp",,,
engine_12V4000M53.json,RB-12V4000M53-000750,111,475,475,X59499100107,X59499100107,"12V4000M53-0110-01.webp, 12V4000M53-0110-02.webp",,,
engine_12V4000M53.json,RB-12V4000M53-000808,114,10,10,X59599100145,X59599100145,12V4000M53-0114-01.webp,,,
engine_12V4000M53.json,RB-12V4000M53-000809,114,20,20,718363220003,718363220003,12V4000M53-0114-01.webp,,,
engine_12V4000M53.json,RB-12V4000M53-000847,122,1330,1330,007603014102,007603014102,"12V4000M53-0121-01.webp, 12V4000M53-0121-02.webp",,,
engine_12V4000M53.json,RB-12V4000M53-000848,122,1340,1340,000908014001,000908014001,"12V4000M53-0121-01.webp, 12V4000M53-0121-02.webp",,,
engine_12V4000M53.json,RB-12V4000M53-000859,125,700,700,007603010110,007603010110,12V4000M53-0125-01.webp,,,
