sku;import_decision;import_reason;designation_final;measure_final;weight_final;source_engine_file;source_id;total_occurrences_global;engine_models_all;source_pages_all;source_ids_all;compacted_type
XP55825100001;import_superseded;ya existe en WordPress/product-export | relacion superseded clara;DISHED WASHER;;6.800 g;engine_16V4000M90.json;1602027;3;16V4000M90;280;1602027, 1602028, 1602052;superseded
0005313789;import_superseded;relacion superseded clara;AUDIBLE ALARM VDO;;;engine_16V4000M90.json;1602563;1;16V4000M90;355;1602563;superseded
0065312781;import_superseded;relacion superseded clara;SEPARABLE CONNECTOR 20POL.;125V/7,5A;;engine_16V4000M90.json;1602582;1;16V4000M90;357;1602582;superseded
5275303837;import_superseded;ya existe en WordPress/product-export | relacion superseded clara;PROGRAMMING CONNECTR FOR MONITOR SYSTEM PIM4;;;engine_16V4000M90.json;1602605;1;16V4000M90;362;1602605;superseded
5275309837;import_superseded;ya existe en WordPress/product-export | relacion superseded clara;VPI - PROG CONN FOR MON SYS PIM4;;5.000 g M;engine_16V4000M90.json;1602607;1;16V4000M90;364;1602607;superseded
0065312481;import_superseded;relacion superseded clara;TERMINAL;2X3POLIG, 125V/7,5A;0.003 KGM;engine_16V4000M90.json;1602608;2;16V4000M90;365, 388;1602608, 1602694;superseded
X00010021;import_superseded;relacion superseded clara;CONTROL LEVER ROS 07-05 (EMV MODIFIZIERT);;;engine_16V4000M90.json;1602887;1;16V4000M90;419;1602887;superseded
X59601400003;import_superseded;relacion superseded clara;OIL PAN;;480.000 kg;engine_20V4000M93.json;1700118;4;20V4000M93;32, 428, 824, 1220;1700118, 1703864, 1707604, 1711344;superseded
X59601800005;import_superseded;relacion superseded clara;SUPPORT F OIL SEPARATOR;;;engine_20V4000M93.json;1700205;6;20V4000M93, 20V4000M93L;40, 436, 832, 1142, 1228, 1515;1700205, 1703949, 1707689, 1711429, 1800202, 1803773;superseded
23523779;import_superseded;estado QA requiere revision manual | relacion superseded clara;HOSE;;203.600 g;engine_20V4000M93.json;1700241;6;20V4000M93, 20V4000M93L;41, 437, 833, 1143, 1229, 1516;1700241, 1703985, 1707725, 1711465, 1800238, 1803810;superseded
700368045011;import_superseded;relacion superseded clara;RUBBER SLEEVE;45 X 80;0.1 KGM;engine_20V4000M93.json;1700253;6;20V4000M93, 20V4000M93L;41, 437, 833, 1143, 1229, 1516;1700253, 1703997, 1707737, 1711477, 1800250, 1803822;superseded
X59402400005/75;import_superseded;relacion superseded clara;EQUIPMENT RACK PRIMED;;253 KGM;engine_20V4000M93.json;1700306;4;20V4000M93;52, 448, 844, 1240;1700306, 1704051, 1707791, 1711531;superseded
X59603100002;import_superseded;relacion superseded clara;CRANKSHAFT 20V-20CWT-STROKE190;;820.000;engine_20V4000M93.json;1700343;6;20V4000M93, 20V4000M93L;57, 453, 849, 1158, 1245, 1531;1700343, 1704087, 1707827, 1711567, 1800337, 1803911;superseded
X52404100205;import_superseded;relacion superseded clara;CYL.HEAD WITH VALVES;;;engine_20V4000M93.json;1700447;4;20V4000M93;77, 473, 869, 1265;1700447, 1704195, 1707935, 1711675;superseded
