sku;designation_final;measurement_final;weight_final;decision;reason;qa_validated;occurrences;engines;source_ids;source_pages;qa_summary_json;import_decision;import_reason
23529480;PUMP ASM;SEPARATE CIRC;;pending_review;qa_pending_or_review_found;false;1;20V4000M93L;1807274;1876;"{""total_rows"":1,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":1,""count_review_action"":1,""count_other"":1}";pending_review;qa_pending_or_review_found
23530573;ELEMENT , OIL FILTER;;1.2 KGM;pending_review;qa_pending_or_review_found;false;1;20V4000M93L;1807273;1876;"{""total_rows"":1,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":1,""count_review_action"":1,""count_other"":1}";pending_review;qa_pending_or_review_found
23530707;SECONDARY FUEL FILTER;2.3320;0.54 KGM;pending_review;qa_pending_or_review_found;false;1;20V4000M93L;1807264;1876;"{""total_rows"":1,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":1,""count_review_action"":1,""count_other"":1}";pending_review;qa_pending_or_review_found
23540304;GASKET KIT;nan;71,400 g;pending_review;qa_pending_or_review_found;false;8;12V4000M40A, 12V4000M53, 12V4000M70, 16V4000M61, 16V4000M90;1100334, 1201445, 1204584, 1901489, 1903876, 1301250, 1304163, 1601379;203, 198, 553, 217, 554, 200, 702, 195;"{""total_rows"":8,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":8,""count_review_action"":8,""count_other"":8}";pending_review;qa_pending_or_review_found
23540432;FILTER 4 LITER CENTRIFUGAL SPINNER OIL;;;pending_review;qa_pending_or_review_found;false;14;16V4000M73, 16V4000M73L, 20V4000M93, 20V4000M93L;1401708, 1404877, 1408055, 1411233, 1501511, 1504718, 1507181, 1509669, 1701892, 1705632, 1709372, 1713117, 1802050, 1805709;227, 581, 936, 1290, 224, 710, 1055, 1392, 241, 637, 1033, 1429, 1352, 1732;"{""total_rows"":14,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":14,""count_review_action"":14,""count_other"":14}";pending_review;qa_pending_or_review_found
23540434;ROTOR DISASSEMBLY;;1.73 KGM;pending_review;qa_pending_or_review_found;false;14;16V4000M73, 16V4000M73L, 20V4000M93, 20V4000M93L;1401731, 1404900, 1408078, 1411256, 1501534, 1504741, 1507204, 1509692, 1701915, 1705655, 1709395, 1713140, 1802073, 1805732;228, 582, 937, 1291, 225, 711, 1056, 1393, 242, 638, 1034, 1430, 1353, 1733;"{""total_rows"":14,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":14,""count_review_action"":14,""count_other"":14}";pending_review;qa_pending_or_review_found
23540454;BODY ASSEMBLY;;10.58 KGM;pending_review;qa_pending_or_review_found;false;14;16V4000M73, 16V4000M73L, 20V4000M93, 20V4000M93L;1401732, 1404901, 1408079, 1411257, 1501535, 1504742, 1507205, 1509693, 1701916, 1705656, 1709396, 1713141, 1802074, 1805733;228, 582, 937, 1291, 225, 711, 1056, 1393, 242, 638, 1034, 1430, 1353, 1733;"{""total_rows"":14,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":14,""count_review_action"":14,""count_other"":14}";pending_review;qa_pending_or_review_found
23540455;CENTRIFUGAL OIL FILTER ASM;;8.7 KGM;pending_review;qa_pending_or_review_found;false;14;16V4000M73, 16V4000M73L, 20V4000M93, 20V4000M93L;1401724, 1404893, 1408071, 1411249, 1501527, 1504734, 1507197, 1509685, 1701908, 1705648, 1709388, 1713133, 1802066, 1805725;228, 582, 937, 1291, 225, 711, 1056, 1393, 242, 638, 1034, 1430, 1353, 1733;"{""total_rows"":14,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":14,""count_review_action"":14,""count_other"":14}";pending_review;qa_pending_or_review_found
23540456;ROTOR COVER;;1.32 KGM;pending_review;qa_pending_or_review_found;false;12;16V4000M73, 16V4000M73L, 20V4000M93;1401734, 1404903, 1408081, 1411259, 1501537, 1504744, 1507207, 1509695, 1701918, 1705658, 1709398, 1713143;229, 583, 938, 1292, 226, 712, 1057, 1394, 243, 639, 1035, 1431;"{""total_rows"":12,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":12,""count_review_action"":12,""count_other"":12}";pending_review;qa_pending_or_review_found
23540457;ROTOR TUBE;;2.600 kg;pending_review;qa_pending_or_review_found;false;14;16V4000M73, 16V4000M73L, 20V4000M93, 20V4000M93L;1401736, 1404905, 1408083, 1411261, 1501539, 1504746, 1507209, 1509697, 1701920, 1705660, 1709400, 1713145, 1802078, 1805737;229, 583, 938, 1292, 226, 712, 1057, 1394, 243, 639, 1035, 1431, 1354, 1734;"{""total_rows"":14,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":14,""count_review_action"":14,""count_other"":14}";pending_review;qa_pending_or_review_found
23540458;ROTOR BASE;;1.54 KGM;pending_review;qa_pending_or_review_found;false;14;16V4000M73, 16V4000M73L, 20V4000M93, 20V4000M93L;1401737, 1404906, 1408084, 1411262, 1501540, 1504747, 1507210, 1509698, 1701921, 1705661, 1709401, 1713146, 1802079, 1805738;229, 583, 938, 1292, 226, 712, 1057, 1394, 243, 639, 1035, 1431, 1354, 1734;"{""total_rows"":14,""count_ok_importar"":0,""count_ok_eliminar"":0,""count_pending"":14,""count_review_action"":14,""count_other"":14}";pending_review;qa_pending_or_review_found
