sku;designation_final;measurement_final;weight_final;decision;reason;qa_validated;occurrences;engines;source_ids;source_pages;qa_summary_json;import_decision;import_reason
5282000458;VENT LINE FOR COOLANT;;0.099 KGM;import;qa_ok_importar_found;true;16;12V4000M53, 16V4000M73, 16V4000M73L, 20V4000M93, 20V4000M93L;1201869, 1205008, 1402144, 1405313, 1408491, 1411669, 1501788, 1504995, 1507458, 1509946, 1702457, 1706197, 1709937, 1713681, 1802509, 1806168;238, 593, 270, 624, 979, 1333, 252, 738, 1083, 1419, 285, 681, 1077, 1473, 1394, 1774;"{""total_rows"":16,""count_ok_importar"":16,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5282000658;VENT LINE FOR COOLAN T;;0.048 KGM;import;qa_ok_importar_found;true;28;12V4000M53, 16V4000M73, 16V4000M73L, 20V4000M93, 20V4000M93L;1201861, 1201868, 1205000, 1205007, 1402135, 1402143, 1405304, 1405312, 1408482, 1408490, 1411660, 1411668, 1501772, 1504979, 1507442, 1509930, 1702445, 1702456, 1706185, 1706196, 1709925, 1709936, 1713669, 1713680, 1802497, 1802508, 1806156, 1806167;238, 593, 270, 624, 979, 1333, 252, 738, 1083, 1419, 285, 681, 1077, 1473, 1394, 1774;"{""total_rows"":28,""count_ok_importar"":28,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5285300683;MODULAR SYSTEM FOR MONITOR SYSTEM;FUER ANW.MIT MPU27;0.411 KGM;import;qa_ok_importar_found;true;2;12V4000M40A, 16V4000M61;1101439, 1301948;319, 328;"{""total_rows"":2,""count_ok_importar"":2,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5285301983;MODULAR SYSTEM;;408 G;import;qa_ok_importar_found;true;3;12V4000M40A;1101440, 1101441, 1101442;360, 367, 390;"{""total_rows"":3,""count_ok_importar"":3,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5285301983/76;MODULAR SYSTEM NOT ADJUSTED;;0.403 KGM;import;qa_ok_importar_found;true;1;12V4000M40A;1102414;361;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5285303833;CONNECTING CABLE FOR MONITOR SYSTEM;L=18M;5 KGM;import;qa_ok_importar_found;true;1;16V4000M61;1302890;494;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5285303969;MEASURE/MONITOR MOD FOR CONTROL PANEL;;568,500 G;import;qa_ok_importar_found;true;1;12V4000M40A;1101443;357;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5285304069;MEASURE/MONITOR MOD FOR CONTROL PANEL;;0.552 KGM;import;qa_ok_importar_found;true;1;12V4000M40A;1101444;357;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5285304933;CONNECTING CABLE FOR MONITOR SYSTEM;;;import;qa_ok_importar_found;true;1;16V4000M61;1302891;494;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
5285307669;MEASURE/MONITOR MOD FOR OIL PRIMING;VORSCHMIERPUMPENSTEUERUNG PPC;0.521 KGM;import;qa_ok_importar_found;true;1;12V4000M40A;1101445;387;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
