Id;fecha_version;POS;designation;engine;model_type;type;pn;nsn;GESA_NORM;GESA_NORMALIZADO;fg_code;fg_description;fg_code_description;weight;weight_txt;measurement;TIPOARTICULO;PAG;BOM_no;esquema_general;exp_motor;exp_categorias;atributo;SUST_TIPO;new_pn_relacionado;old_pn_relacionados;EN_EXCEL_SUSTITUCION;ruta_foto;exp_imagenes
RB-12V4000M40A-001649;;80;O-RING;12V4000M40A;12VM40A;;000N62002/1;5331123061855;;;202;COOLANT CIRCUIT, GENERAL, HT CIRCUIT;202 COOLANT CIRCUIT, GENERAL, HT CIRCUIT;0.007 KGM;0.007 KGM;A 80 X 4;;251;200.00605;12V4000M40A-0250-01.webp, 12V4000M40A-0250-02.webp;12V4000M40A;12VM40A-202;;Superseded;700429080002;000N13269/1, 0029975845, 000N62002/1, 0039973645, 700294080001;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M40A-000150;;150;COPPER SEALING RING;12V4000M40A;12VM40A;;000N84002/1;5330121564526;;;;;;0.001 KGM;0.001 KGM;A 18 X 22;;30;X00014067;12V4000M40A-0030-01.webp;12V4000M40A;;;Superseded;007603018101;005006, 000N84002/1, 2916710613, 4118110003, Z=0634 801 057, 0634801057, 06.56190-0712, 06561900712, 007603018012, 007603018102;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M40A-001547;;130;WASHER A COP;12V4000M40A;12VM40A;;000N90133/1;5330121564823;;;202;COOLANT CIRCUIT, GENERAL, HT CIRCUIT;202 COOLANT CIRCUIT, GENERAL, HT CIRCUIT;0.002 KGM;0.002 KGM;A 27 X 32;;243;XK526200.746010-01;12V4000M40A-0243-01.webp;12V4000M40A;12VM40A-202;;Superseded;007603027100;000N22031/1, 06.56190-0729, 28399970144/0, 000N90133/1, 005016;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-20V4000M93L-007154;;10;SECONDARY FUEL FILTER;20V4000M93L;20VM93L;;00TP916D;;;;;;;0.54 KGM;0.54 KGM;2.3320;;1876;X82566400001/30/97;;20V4000M93L;;;Superseded;23530707;23530707M, 00TP916D, P556916, SUA91033, DN 23530707, 23518482;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M70-002174;;25;PIN;12V4000M70;12VM70;;2.201031;5340123445626;;;;;;0.183 KGM;0.183 KGM;;;306;0001812398;12V4000M70-0306-01.webp;12V4000M70;;;Superseded;Z=2.201 031;2.201031;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M70-0306-01-25.webp
RB-12V4000M70-002190;;105;HYLOMAR M UNIVERSAL SEALANT;12V4000M70;12VM70;;2.201045;8030123230798;;;;;;0.105 KGM;0.105 KGM;1 ST = 80 ML;;306;0001812398;12V4000M70-0306-01.webp;12V4000M70;;;Superseded;40201;Z=2.201 045-2, 2.201045, 40126, 0009895420, 40127;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M70-0306-01-105.webp
RB-12V4000M40A-000473;;210;HEX SCREW;12V4000M40A;12VM40A;;06.01013-1113;5305123341901;;;77;INJECTION LINE / HP FUEL LINE;77 INJECTION LINE / HP FUEL LINE;0.018 KGM;0.018 KGM;M 8 X 40;;92;070.00058;12V4000M40A-0091-01.webp, 12V4000M40A-0091-02.webp;12V4000M40A;12VM40A-77;;Superseded;304017008085;000931008266, 000931008058, 000931008057, 000933008160, 000933008082, 06.01013-1113, 000933008111;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M40A-000091;;110;HEX SCREW;12V4000M40A;12VM40A;;06.01013-1114;5305123341816;;;14;OIL PAN;14 OIL PAN;0.019 KGM;0.019 KGM;M 8 X 45;;22;180.00057;12V4000M40A-0021-01.webp, 12V4000M40A-0021-02.webp;12V4000M40A;12VM40A-14;;Superseded;304017008086;06.01013-1114, 000931008244, 000931008181, 000931008072, 000933008119;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M40A-000859;;15;HEX SCREW;12V4000M40A;12VM40A;;06.01013-1117;5305123394680;;;126;AIR TRANSFER, LEFT - RIGHT SIDE, DRIVING END;126 AIR TRANSFER, LEFT - RIGHT SIDE, DRIVING END;0.024 KGM;0.024 KGM;M 8 X 60;;147;120.00040;12V4000M40A-0147-01.webp;12V4000M40A;12VM40A-126;;Superseded;304017008089;06.01013-1117, 000931008248, 000931008094, 000931008182, 000933008143;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M40A-001191;;350;HEX SCREW;12V4000M40A;12VM40A;;06.01013-1213;5305121419896;;;183;OIL FILTRATION/COOLING;183 OIL FILTRATION/COOLING;0.031 KGM;0.031 KGM;M 10 X 40;;198;X00021913;12V4000M40A-0198-01.webp;12V4000M40A;12VM40A-183;;Superseded;000933010094;000931010282, 000931010053, 000931010054, 06.01283-1219, 000933010062, 06.01013-1213, 000N05224/1;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
