sku;pn_final;PART NO.;engine;model_type;fg_code;fg_description;fg_code_description;exp_categorias;exp_imagenes;designation_final;DESIGNATION;sust_hierarchie;hierarchie_final;sust_new_part_number;new_pn_final;sust_superseded_list;subst_pnlist_final;measurement_final;weight_final;synthetic_source;data_quality;synthetic_parent_id;synthetic_parent_pn;synthetic_parent_engine;synthetic_child_id;synthetic_child_pn;synthetic_child_engine;dedupe_trace;decision;reason;qa_validated;occurrences;engines;source_ids;source_pages;qa_summary_json;import_decision;import_reason
000934005024;000934005024;000934005024;12V4000M40A;12VM40A;;;;;;NUT HEX;NUT HEX;New;New;;;;;M 5;0.001 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-002442;359;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000934006006;000934006006;000934006006;12V4000M40A;12VM40A;128;CONTROL BLOCK FOR AIR AND EXHAUST FLOW CONTROL FLAPS;128 CONTROL BLOCK FOR AIR AND EXHAUST FLOW CONTROL FLAPS;12VM40A-128;;NUT HEX;NUT HEX;New;New;000934006006;000934006006;XP52220500104, 06.11184-0112, 06111840112, 000934006007, 000934006000;XP52220500104, 06.11184-0112, 06111840112, 000934006007, 000934006000;M 6;0.002 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-000872;152;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000934006034;000934006034;000934006034;12V4000M40A;12VM40A;;;;;;HEX NUT;HEX NUT;New;New;;;;;M 6;0.002 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-002422;359;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000934008008;000934008008;000934008008;12V4000M40A;12VM40A;18;CRANKCASE BREATHER;18 CRANKCASE BREATHER;12VM40A-18;;NUT HEX;NUT HEX;New;New;000934008008;000934008008;8691510087, 06.11184-0114, 06111840114, 000934008010, 8699900050, 000N18030/1, 06.11062-0164, 000934008000, 06.11064-0114, 06.11068-0114;8691510087, 06.11184-0114, 06111840114, 000934008010, 8699900050, 000N18030/1, 06.11062-0164, 000934008000, 06.11064-0114, 06.11068-0114;M 8;0.005 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-000129;29;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000934008013;000934008013;000934008013;12V4000M40A;12VM40A;;;;;;NUT HEX;NUT HEX;New;New;000934008013;000934008013;000934008037;000934008037;M 8;0.005 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-000711;122;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000934010005;000934010005;000934010005;12V4000M40A;12VM40A;80;"L.P. FUEL SYSTEM; (ALSO GAS ENGINES)";"80 L.P. FUEL SYSTEM; (ALSO GAS ENGINES)";12VM40A-80;;NUT HEX;NUT HEX;New;New;000934010005;000934010005;000934010014, 06111840115, 06.11184-0115, 0000770072, 000934010000, 000934010025, 06.11064-0115;000934010014, 06111840115, 06.11184-0115, 0000770072, 000934010000, 000934010025, 06.11064-0115;M 10;0.01 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-000509;97;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000934010007;000934010007;000934010007;12V4000M40A;12VM40A;36;TRANSPORT LOCK/LOCK FOR CRANKSHAFT;36 TRANSPORT LOCK/LOCK FOR CRANKSHAFT;12VM40A-36;;NUT HEX;NUT HEX;New;New;000934010007;000934010007;000934010009, 06.11065-0115, 06110650115;000934010009, 06.11065-0115, 06110650115;M 10;0.01 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-000313;55;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000934012008;000934012008;000934012008;12V4000M40A;12VM40A;24;GEARCASE, AUX PTO END;24 GEARCASE, AUX PTO END;12VM40A-24;;NUT HEX;NUT HEX;New;New;000934012008;000934012008;000934012021, 06.11184-0116, 06111840116, 06110640120, 000934012000, 06.11064-0116, 001620;000934012021, 06.11184-0116, 06111840116, 06110640120, 000934012000, 06.11064-0116, 001620;M 12;0.016 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-000181;36;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000934012010;000934012010;000934012010;12V4000M40A;12VM40A;;;;;;NUT HEX;NUT HEX;New;New;000934012010;000934012010;114A11002/1;114A11002/1;M 12;0.015 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-001999;304;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
000934016019;000934016019;000934016019;12V4000M40A;12VM40A;188;CONNECTING HARDWARE FOR ENGINE OIL SUPPLY;188 CONNECTING HARDWARE FOR ENGINE OIL SUPPLY;12VM40A-188;;NUT HEX 8;NUT HEX 8;New;New;000934016019;000934016019;304032016003, 06.11184-0118, 06111840118, 000934016012, 000934016000;304032016003, 06.11184-0118, 06111840118, 000934016012, 000934016000;M 16;0.028 KGM;;;;;;;;;;import;qa_ok_importar_found;true;1;12V4000M40A;RB-12V4000M40A-001322;219;"{""total_rows"":1,""count_ok_importar"":1,""count_ok_eliminar"":0,""count_pending"":0,""count_review_action"":0,""count_other"":0}";import;qa_ok_importar_found
