Id;fecha_version;POS;designation;engine;model_type;type;pn;nsn;GESA_NORM;GESA_NORMALIZADO;fg_code;fg_description;fg_code_description;weight;weight_txt;measurement;TIPOARTICULO;PAG;BOM_no;esquema_general;exp_motor;exp_categorias;atributo;SUST_TIPO;new_pn_relacionado;old_pn_relacionados;EN_EXCEL_SUSTITUCION;ruta_foto;exp_imagenes
RB-16V4000M73-001189;20260605.0224;1050;O-RING;16V4000M73;16VM73;;0019972048;5331121786367;MTN5342;SI;125-15;AIR ROUTING BETWEEN TURBOCHARGER AND CHARGE-AIR COOLER;125 AIR ROUTING BETWEEN TURBOCHARGER AND CHARGE-AIR COOLER;0.011 KGM;0.011 KGM;A 118 X 4;piezas;16V4000M73-0175;XS595120.00004;16V4000M73-0175-01.webp;16V4000M73;16VM73-125;;Superseded;700429118000;23521608, 0019972048, 0089976745;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/16V4000M73-0175-01-1050.webp
RB-12V4000M40A-000457;20260605.0224;120;O-RING;12V4000M40A;12VM40A;;0019972245;5331121989620;MTN5342;SI;077-05;INJECTION LINE / HP FUEL LINE;77 INJECTION LINE / HP FUEL LINE;0.005 KGM;0.005 KGM;A 36 X 5;piezas;12V4000M40A-0092;070.00058;12V4000M40A-0091-01.webp, 12V4000M40A-0091-02.webp;12V4000M40A;12VM40A-77;;Superseded;700429036001;0019970348, 0019972245;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-20V4000M93-001893;20260605.0224;60;O-RING;20V4000M93;20VM93;;0019974945;5331121989618;MTN5342;SI;;;;0.007 KGM;0.007 KGM;A 37,46X 5,33;piezas;20V4000M93-0240;XP59600600003;20V4000M93-0240-01.webp;20V4000M93;;;Superseded;700429037001;0019974945;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/20V4000M93-0240-01-60.webp
RB-12V4000M53-001092;20260605.0224;400;O-RING;12V4000M53;12VM53;;0019976540;5331123096344;MTN5342;SI;;;;0.001 KGM;0.001 KGM;A 25 X 2,5;piezas;12V4000M53-0151;X59412300090;12V4000M53-0151-01.webp;12V4000M53;;;Superseded;700429025001;0634306024, 0079976045, 000N23101/1, 000N05113/1, 000N05120/1, 0019976540, 0019979340, 11.20087-2037, 700294025001;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M53-0151-01-400.webp
RB-12V4000M40A-000353;20260605.0224;55;SEAL RING;12V4000M40A;12VM40A;;0019977040;5330121564522;DIN7603;SI;;;;0.001 KGM;0.001 KGM;A 14 X 18;piezas;12V4000M40A-0065;5240106920;12V4000M40A-0065-01.webp;12V4000M40A;;;Superseded;007603014102;06.56190-0705, 11.20087-2026, 007603014101, XP57220200108, 0019977040, 005001;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M40A-001797;20260605.0224;100;O-RING;12V4000M40A;12VM40A;;0019977045;5331123268305;MTN5342;SI;206-05;COOLANT PIPEWORK WITH THERMOSTAT;206 COOLANT PIPEWORK WITH THERMOSTAT;0.008 KGM;0.008 KGM;A 100 X 4;piezas;12V4000M40A-0267;200.00120;12V4000M40A-0267-01.webp;12V4000M40A;12VM40A-206;;Superseded;700429100001;700294100003, 0019971848, 0019977045;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M40A-000699;20260605.0224;110;O-RING;12V4000M40A;12VM40A;;0019978745;5331121786270;MTN5342;SI;;;;0.007 KGM;0.007 KGM;A 105 X 3,5;piezas;12V4000M40A-0121;X00039514;12V4000M40A-0121-01.webp;12V4000M40A;;;Superseded;700429105001;0019971948, 0019978745;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M40A-000160;20260605.0224;300;O-RING;12V4000M40A;12VM40A;;0019978945;5331121786269;MTN5342;SI;;;;0.008 KGM;0.008 KGM;A 90 X 4;piezas;12V4000M40A-0031;X00014074;12V4000M40A-0031-01.webp;12V4000M40A;;;Superseded;700429090002;0019970248, 0019978945, 0029970140, 0029975545, 06.56640-0129;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M40A-001214;20260605.0224;120;O-RING;12V4000M40A;12VM40A;;0019979045;5331123082694;MTN5342;SI;;;;0.023 KGM;0.023 KGM;A 115 X 6;piezas;12V4000M40A-0200;5241800911;12V4000M40A-0199-01.webp, 12V4000M40A-0199-02.webp;12V4000M40A;;;Superseded;700429115000;0019979045;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/01/sin_imagen.jpeg
RB-12V4000M53-001092;20260605.0224;400;O-RING;12V4000M53;12VM53;;0019979340;5331123096344;MTN5342;SI;;;;0.001 KGM;0.001 KGM;A 25 X 2,5;piezas;12V4000M53-0151;X59412300090;12V4000M53-0151-01.webp;12V4000M53;;;Superseded;700429025001;0634306024, 0079976045, 000N23101/1, 000N05113/1, 000N05120/1, 0019976540, 0019979340, 11.20087-2037, 700294025001;;;https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M53-0151-01-400.webp
