model,engine_id,rebuild_id,block,field,diff_type,engine_value,rebuild_value
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,qa_revision_origen,empty_vs_value,auto,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,qa_revision_regla_aplicada,empty_vs_value,C|D,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,qa_revision_updated_at,empty_vs_value,2026-05-24T23:05:23.961Z,
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,qty_units_final,empty_vs_value,,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,rebuild_match_status,expected_rebuild_diff,__undefined__,unique
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,rebuild_source_confidence,expected_rebuild_diff,__undefined__,1
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,rebuild_source_page,expected_rebuild_diff,__undefined__,29
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,rebuild_source_row_index,expected_rebuild_diff,__undefined__,18
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,rebuild_source_warnings,expected_rebuild_diff,__undefined__,"[""multiline-candidate""]"
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,Replacement Type,empty_vs_value,F,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,Seq no,empty_vs_value,0008,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,source_file,empty_vs_value,12V4000M40A.xlsx,book_preview_12V4000M40A.json
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,source_sheet,empty_vs_value,1,
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,status,empty_vs_value,OK_GESA,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,subst_pnlist_final,empty_vs_value,"0069970490, 916018025000, 700433024000, 916026028000, 916026025000, 0009976290, 916017025000",__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,Superseded Part Number,empty_vs_value,000000000668,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,sust_status_final,empty_vs_value,SI,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,SUST_TIPO,empty_vs_value,New,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,Valid From Date,empty_vs_value,2001-05-01,__undefined__
12V4000M40A,1100053,RB-12V4000M40A-000143,legacy_metadata,WEIGHT,empty_vs_value,0.026 KGM,26 G
12V4000M40A,1100054,RB-12V4000M40A-001696,identity,ID,expected_rebuild_diff,1100054,RB-12V4000M40A-001696
12V4000M40A,1100054,RB-12V4000M40A-001696,identity,rebuild_legacy_engine_id,expected_rebuild_diff,__undefined__,1100054
12V4000M40A,1100054,RB-12V4000M40A-001696,identity,Source Page,formatting_diff,257,257
12V4000M40A,1100054,RB-12V4000M40A-001696,final,designation_final,empty_vs_value,HEX SCREW,BOLT HEX A3C
12V4000M40A,1100054,RB-12V4000M40A-001696,final,weight_final,empty_vs_value,0.03 KGM,"29,800 G"
12V4000M40A,1100054,RB-12V4000M40A-001696,final,measure_final,formatting_diff,M 10  X 40,M 10 X 40
12V4000M40A,1100054,RB-12V4000M40A-001696,qa,qa_revision_estado,empty_vs_value,ok,pendiente
12V4000M40A,1100054,RB-12V4000M40A-001696,qa,qa_revision_accion,critical_missing,copia,
12V4000M40A,1100054,RB-12V4000M40A-001696,assets,esquemas,empty_vs_value,"12V4000M40A-0256-01.png , 12V4000M40A-0256-02.png , 12V4000M40A-0257-01.png",12V4000M40A-0257-01.png
12V4000M40A,1100054,RB-12V4000M40A-001696,assets,esquemas_circulos,critical_missing,12V4000M40A-0256-01-36.webp,
12V4000M40A,1100054,RB-12V4000M40A-001696,assets,esquemas_circulos_all,critical_missing,"12V4000M40A-0256-01-36.webp , 12V4000M40A-0256-02-36.webp , 12V4000M40A-0257-01-36.webp",
12V4000M40A,1100054,RB-12V4000M40A-001696,assets,ruta_esquemas_pos,critical_missing,https://milu-naval.mystagingwebsite.com/wp-content/uploads/2026/02/12V4000M40A-0256-01-36.webp,
